key,en,th
case_architecture_title,Responsibility-driven layers,การแบ่งเลเยอร์ตามความรับผิดชอบ
case_stack,TECHNICAL STACK,เทคโนโลยีที่ใช้
case_stack_title,Technologies by responsibility,เทคโนโลยีตามหน้าที่รับผิดชอบ
case_tradeoffs,TRADE-OFFS,ข้อแลกเปลี่ยนในการออกแบบ
case_tradeoffs_title,Engineering decisions,การตัดสินใจด้านวิศวกรรม
case_tradeoffs_body,"This portfolio only presents decisions supported by the project data. Detailed problem, decision, trade-off, performance, and evidence fields can be added through the structured case-study model without inventing claims.","Portfolio นี้จะแสดงเฉพาะการตัดสินใจที่มีข้อมูลของโปรเจกต์รองรับ โดยสามารถเพิ่มรายละเอียดปัญหา การตัดสินใจ ข้อแลกเปลี่ยน ประสิทธิภาพ และหลักฐานผ่านโมเดลกรณีศึกษาแบบมีโครงสร้างได้โดยไม่สร้างข้อมูลที่ไม่มีหลักฐาน"
case_more,Explore more engineering work.,ดูผลงานวิศวกรรมเพิ่มเติม
case_production_delivery,Production delivery,การส่งมอบระดับ Production
case_cross_platform,Cross-platform implementation,การพัฒนาข้ามแพลตฟอร์ม
case_implementation,implementation,การพัฒนา
case_layer_presentation,Presentation / Client,ส่วนแสดงผล / Client
case_layer_application,Application & Domain,Application และ Domain
case_layer_platform,Platform / Service Boundary,ขอบเขต Platform / Service
case_layer_data,Data & External Services,ข้อมูลและบริการภายนอก
case_project_stack,Project-specific stack,เทคโนโลยีเฉพาะโปรเจกต์
case_primary,Primary,หลัก
case_supporting,Supporting,เสริม
contact_eyebrow,"04. What's Next?","04. อะไรต่อไป?"
contact_title,Get In Touch,ติดต่อ
contact_body,"I’m open to interesting product work, collaborations, and Flutter engineering opportunities.","ฉันเปิดรับงานผลิตภัณฑ์ที่น่าสนใจ การทำงานร่วมกัน และโอกาสใหม่ๆ ในด้านวิศวกรรม Flutter"
contact_btn,Say Hello,ทักทายกันหน่อย
contact_tel,Tel,โทร
footer_built_by,Built by Dexter-CNX with Flutter,"สร้างโดย Dexter-CNX ด้วย Flutter"
project_type,Flutter Project,โปรเจกต์ Flutter
admin_title,Portfolio project admin,จัดการโปรเจกต์พอร์ตโฟลิโอ
admin_import_json,Import JSON,นำเข้า JSON
admin_export_json,Export JSON,ส่งออก JSON
admin_import_title,Import project selection JSON,นำเข้า JSON การเลือกโปรเจกต์
admin_import_hint,Paste project_selection.json here,วาง project_selection.json ที่นี่
admin_cancel,Cancel,ยกเลิก
admin_import,Import,นำเข้า
admin_export_copied,"Project selection JSON copied. Replace assets/content/project_selection.json and commit it.","คัดลอก JSON แล้ว ให้นำไปแทน assets/content/project_selection.json และ commit"
admin_import_success,JSON imported into the editor.,นำเข้า JSON เข้าตัวแก้ไขแล้ว
admin_import_invalid,Invalid project selection JSON,JSON การเลือกโปรเจกต์ไม่ถูกต้อง
admin_static_notice,"This static site cannot write bundled assets. Edit selections here, export JSON, replace assets/content/project_selection.json in the repository, then commit and deploy.","เว็บแบบ static ไม่สามารถเขียนกลับลง asset ได้ ให้แก้รายการที่นี่ ส่งออก JSON แล้วนำไปแทน assets/content/project_selection.json ใน repository จากนั้น commit และ deploy"
admin_search,Search repositories,ค้นหา repository
admin_config_updated,Config updated,อัปเดต config
admin_empty,No repositories found,ไม่พบ repository
admin_visible,Visible,แสดง
admin_featured,Featured,แนะนำ
admin_include_pdf,Include in PDF,รวมใน PDF
admin_sort_order,Sort order,ลำดับ
admin_title_override,Title override,ชื่อที่ใช้แสดง
admin_summary_override,Summary override,สรุปที่ใช้แสดง
admin_load_error,Unable to load repositories,ไม่สามารถโหลด repository ได้
admin_retry,Retry,ลองใหม่
